Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8c.exe                     1324                            2     31В 348 K
1cv8c.exe                     3328                            2    275В 424 K
1cv8c.exe                     4696                            2    171В 052 K
1cv8c.exe                     5044                            2    191В 108 K
1cv8c.exe                     7220                            2    208В 128 K
1cv8c.exe                     7296                            2    162В 732 K
1cv8c.exe                     7824                            2    103В 256 K
AggregatorHost.exe            6196 Services                   0      4В 504 K
cmd.exe                       2400                            2      4В 788 K
cmd.exe                       6372                            2      4В 844 K
cmd.exe                       9480                            2      4В 768 K
conhost.exe                   1420                            2     10В 808 K
conhost.exe                   3908                            2     10В 548 K
conhost.exe                   4216                            2     10В 832 K
conhost.exe                   6448                            2     16В 756 K
conhost.exe                   6672 Services                   0     12В 364 K
conhost.exe                   8144 Services                   0     12В 464 K
conhost.exe                   9024 Services                   0     12В 464 K
conhost.exe                   9032 Services                   0     12В 460 K
conhost.exe                   9576                            2     20В 612 K
conhost.exe                  10212                            2     14В 808 K
conhost.exe                  11692                            2     10В 820 K
csrss.exe                      744 Services                   0      5В 532 K
csrss.exe                      872 Console                    1      5В 428 K
csrss.exe                     1700                            2      9В 012 K
ctfmon.exe                    9720                            2     16В 976 K
dbda.exe                      9016 Services                   0     53В 948 K
dfsrs.exe                     3888 Services                   0     16В 636 K
dfssvc.exe                    5596 Services                   0      6В 284 K
dllhost.exe                   7568 Services                   0      6В 696 K
dllhost.exe                   7808 Services                   0      8В 656 K
dwm.exe                       1280 Console                    1     45В 124 K
dwm.exe                       7816                            2     41В 044 K
explorer.exe                 10080                            2    172В 212 K
fontdrvhost.exe                808 Console                    1      3В 348 K
fontdrvhost.exe               1028 Services                   0      3В 500 K
fontdrvhost.exe               7340                            2      8В 420 K
hasplms.exe                   3860 Services                   0     23В 516 K
hasplmv.exe                   7664 Services                   0      6В 784 K
iashost.exe                  12264 Services                   0     14В 688 K
inetinfo.exe                  3876 Services                   0     25В 348 K
java.exe                       824                            2     47В 380 K
java.exe                      3940                            2     21В 012 K
java.exe                      6988                            2     57В 044 K
java.exe                     10088                            2     22В 992 K
java.exe                     11668                            2     36В 472 K
jucheck.exe                   4664                            2     18В 696 K
jusched.exe                   4616                            2     17В 596 K
