Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8c.exe                     1348 RDP-Tcp#0                  2  1В 151В 668 K
1cv8c.exe                     8480 RDP-Tcp#0                  2    814В 724 K
AggregatorHost.exe            6452 Services                   0      4В 660 K
cmd.exe                       9320 RDP-Tcp#0                  2      5В 180 K
cmd.exe                      10808 RDP-Tcp#0                  2      4В 940 K
conhost.exe                   1324 Services                   0     12В 748 K
conhost.exe                   6540 Services                   0     12В 384 K
conhost.exe                   6824 Services                   0     12В 748 K
conhost.exe                   7432 Services                   0     12В 752 K
conhost.exe                   8904 RDP-Tcp#0                  2     14В 960 K
conhost.exe                  11060 RDP-Tcp#0                  2      3В 644 K
conhost.exe                  11152 RDP-Tcp#0                  2     18В 876 K
conhost.exe                  11244 RDP-Tcp#0                  2      3В 440 K
conhost.exe                  11444 RDP-Tcp#0                  2      3В 200 K
conhost.exe                  11968 RDP-Tcp#0                  2      3В 324 K
csrss.exe                      752 Services                   0      5В 708 K
csrss.exe                      868 Console                    1      5В 552 K
csrss.exe                     6872 RDP-Tcp#0                  2     15В 708 K
ctfmon.exe                    9480 RDP-Tcp#0                  2     17В 236 K
dbda.exe                      6820 Services                   0     54В 160 K
dfsrs.exe                     3700 Services                   0     16В 700 K
dfssvc.exe                    5484 Services                   0      6В 304 K
dllhost.exe                   7496 Services                   0      8В 740 K
dllhost.exe                   7980 Services                   0      6В 684 K
dwm.exe                       1252 Console                    1     44В 780 K
dwm.exe                       8400 RDP-Tcp#0                  2     65В 592 K
explorer.exe                 10096 RDP-Tcp#0                  2    123В 820 K
fontdrvhost.exe                708 Services                   0      3В 516 K
fontdrvhost.exe               1032 Console                    1      3В 376 K
fontdrvhost.exe               8388 RDP-Tcp#0                  2      8В 792 K
hasplms.exe                   3680 Services                   0     23В 528 K
hasplmv.exe                   7460 Services                   0      6В 796 K
iashost.exe                   3804 Services                   0     14В 692 K
inetinfo.exe                  3692 Services                   0     25В 376 K
java.exe                      4164 RDP-Tcp#0                  2     32В 468 K
java.exe                     11256 RDP-Tcp#0                  2     49В 048 K
java.exe                     11436 RDP-Tcp#0                  2      8В 704 K
java.exe                     11956 RDP-Tcp#0                  2     49В 796 K
jucheck.exe                   7412 RDP-Tcp#0                  2     18В 516 K
jusched.exe                   9236 RDP-Tcp#0                  2     17В 532 K
LogonUI.exe                   1216 Console                    1     48В 188 K
LsaIso.exe                     144 Services                   0      3В 792 K
lsass.exe                      676 Services                   0     23В 032 K
MoUsoCoreWorker.exe           3800 Services                   0     33В 996 K
mqsvc.exe                     4352 Services                   0     15В 572 K
msdtc.exe                     7888 Services                   0     11В 140 K
MsMpEng.exe                   4156 Services                   0    267В 116 K
nfssvc.exe                    4956 Services                   0      6В 312 K
NisSrv.exe                    5876 Services                   0     11В 672 K
pg_ctl.exe                    3904 Services                   0      6В 528 K
postgres.exe                  6524 Services                   0     22В 976 K
postgres.exe                  6924 Services                   0      9В 908 K
postgres.exe                  7004 Services                   0     12В 712 K
postgres.exe                  7012 Services                   0     11В 296 K
postgres.exe                  7844 Services                   0     14В 428 K
postgres.exe                  7852 Services                   0     10В 988 K
postgres.exe                  7860 Services                   0     10В 904 K
PSPad.exe                     2992 RDP-Tcp#0                  2     35В 460 K
ragent.exe                    6916 Services                   0     60В 808 K
rdpclip.exe                   9048 RDP-Tcp#0                  2     13В 296 K
Registry                       184 Services                   0     21В 388 K
rmngr.exe                     1052 Services                   0    181В 656 K
rphost.exe                    6812 Services                   0    135В 752 K
RuntimeBroker.exe             9476 RDP-Tcp#0                  2     17В 120 K
RuntimeBroker.exe            10288 RDP-Tcp#0                  2     22В 096 K
RuntimeBroker.exe            10760 RDP-Tcp#0                  2     21В 528 K
RuntimeBroker.exe            11016 RDP-Tcp#0                  2     14В 500 K
SearchApp.exe                10560 RDP-Tcp#0                  2     65В 748 K
SearchIndexer.exe             3772 Services                   0     27В 188 K
Secure System                  120 Services                   0    142В 360 K
services.exe                  1004 Services                   0     12В 420 K
ShellExperienceHost.exe       9696 RDP-Tcp#0                  2     48В 800 K
sihost.exe                    9108 RDP-Tcp#0                  2     27В 868 K
smbhash.exe                   4000 Services                   0      8В 340 K
smss.exe                       620 Services                   0      1В 280 K
SMSvcHost.exe                 3876 Services                   0     26В 608 K
SMSvcHost.exe                 6732 Services                   0     18В 124 K
spoolsv.exe                   3396 Services                   0     23В 652 K
StartMenuExperienceHost.e     9496 RDP-Tcp#0                  2     57В 604 K
svchost.exe                    664 Services                   0     23В 940 K
