"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Открытие формы справочника ""Название папок на сайте"" (НазваниеПапокНаСайте)","1","0","Открытие формы справочника ""Название папок на сайте"" (НазваниеПапокНаСайте)","0"
"0","","0","Копирование элемента справочника ""Бизнес регионы логистика"" (БизнесРегионыЛогистика)","1","0","Копирование элемента справочника ""Бизнес регионы логистика"" (БизнесРегионыЛогистика)","0"
"0","","0","Ввод на основании документа ""Заказ на перемещение""","1","0","Ввод на основании документа ""Заказ на перемещение""","0"
"0","","0","Открытие формы списка регистра сведений ""Настройки пользователей БИП"" (НастройкиПользователейБИП)","1","0","Открытие формы списка регистра сведений ""Настройки пользователей БИП"" (НастройкиПользователейБИП)","0"
"0","","0","Копирование элемента справочника ""Наборы упаковок"" (НаборыУпаковок)","1","0","Копирование элемента справочника ""Наборы упаковок"" (НаборыУпаковок)","0"
"0","","0","Открытие формы плана видов характеристик ""Дополнительная информация"" (CRM_ДополнительнаяИнформация)","1","0","Открытие формы плана видов характеристик ""Дополнительная информация"" (CRM_ДополнительнаяИнформация)","0"
"0","","0","Открытие формы справочника ""Коллекции (сезоны)"" (КоллекцииНоменклатуры)","1","0","Открытие формы справочника ""Коллекции (сезоны)"" (КоллекцииНоменклатуры)","0"
"0","","0","Открытие формы журнала документов ""Излишки, недостачи и порчи товаров"" (СкладскиеОрдераНаИзлишкиНедостачиПорчи)","1","0","Открытие формы журнала документов ""Излишки, недостачи и порчи товаров"" (СкладскиеОрдераНаИзлишкиНедостачиПорчи)","0"
"0","","0","Копирование элемента группы справочника ""Номенклатура конкурентов"" (НоменклатураКонкурентов)","1","0","Копирование элемента группы справочника ""Номенклатура конкурентов"" (НоменклатураКонкурентов)","0"
"0","","0","Открытие формы справочника ""Учетные политики организаций"" (УчетныеПолитикиОрганизаций)","1","0","Открытие формы справочника ""Учетные политики организаций"" (УчетныеПолитикиОрганизаций)","0"
"0","","0","Копирование элемента справочника ""Варианты наличия оригиналов документов"" (ВариантыНаличияОригиналовДокументов)","1","0","Копирование элемента справочника ""Варианты наличия оригиналов документов"" (ВариантыНаличияОригиналовДокументов)","0"
"0","","0","Печать элемента документа ""Исходящая транспортная операция ВетИС"" (ИсходящаяТранспортнаяОперацияВЕТИС)","1","0","Печать элемента документа ""Исходящая транспортная операция ВетИС"" (ИсходящаяТранспортнаяОперацияВЕТИС)","0"
"0","","0","Открытие формы отчета ""Остатки и доступность товаров"" (ОстаткиИДоступностьТоваров)","1","0","Открытие формы отчета ""Остатки и доступность товаров"" (ОстаткиИДоступностьТоваров)","0"
"0","","0","Копирование элемента группы справочника ""Сегменты номенклатуры"" (СегментыНоменклатуры)","1","0","Копирование элемента группы справочника ""Сегменты номенклатуры"" (СегментыНоменклатуры)","0"
"0","","0","Открытие формы списка справочника ""Направления развозки"" (АйТи_НаправленияРазвозки)","1","0","Открытие формы списка справочника ""Направления развозки"" (АйТи_НаправленияРазвозки)","0"
"0","","0","Открытие формы регистра сведений ""Размещение номенклатуры по складским ячейкам"" (РазмещениеНоменклатурыПоСкладскимЯчейкам)","1","0","Открытие формы регистра сведений ""Размещение номенклатуры по складским ячейкам"" (РазмещениеНоменклатурыПоСкладскимЯчейкам)","0"
"0","","0","Копирование элемента справочника ""Отрасли"" (CRM_Отрасли)","1","0","Копирование элемента справочника ""Отрасли"" (CRM_Отрасли)","0"
"0","","0","Открытие формы списка регистра сведений ""Параметры подключения"" (НастройкиТранспортаОбмена)","1","0","Открытие формы списка регистра сведений ""Параметры подключения"" (НастройкиТранспортаОбмена)","0"
"0","","0","Открытие формы списка документа ""Отчет комитенту о продажах"" (ОтчетКомитенту)","1","0","Открытие формы списка документа ""Отчет комитенту о продажах"" (ОтчетКомитенту)","0"
"0","","0","Открытие формы справочника ""Эквайринговые терминалы"" (ЭквайринговыеТерминалы)","1","0","Открытие формы справочника ""Эквайринговые терминалы"" (ЭквайринговыеТерминалы)","0"
"0","","0","Открытие формы документа ""Заявка на доставку"" (ЗаявкаНаДоставку)","1","0","Открытие формы документа ""Заявка на доставку"" (ЗаявкаНаДоставку)","0"
"0","","0","Открытие формы справочника ""Варианты завершения бизнес-процесса"" (CRM_ВариантыЗавершенияБизнесПроцесса)","1","0","Открытие формы справочника ""Варианты завершения бизнес-процесса"" (CRM_ВариантыЗавершенияБизнесПроцесса)","0"
"0","","0","Открытие формы документа ""Расходный ордер WMS"" (РасходныйОрдерWMS)","1","0","Открытие формы документа ""Расходный ордер WMS"" (РасходныйОрдерWMS)","0"
"0","","0","Открытие формы списка справочника ""Пользователи ВетИС"" (ПользователиВЕТИС)","1","0","Открытие формы списка справочника ""Пользователи ВетИС"" (ПользователиВЕТИС)","0"
"0","","0","Открытие формы списка справочника ""Проекты"" (Проекты)","1","0","Открытие формы списка справочника ""Проекты"" (Проекты)","0"
"0","","0","Копирование элемента плана видов характеристик ""Настройки пользователей"" (CRM_НастройкиПользователей)","1","0","Копирование элемента плана видов характеристик ""Настройки пользователей"" (CRM_НастройкиПользователей)","0"
"0","","0","Открытие формы списка справочника ""Настройки обмена с MS Exchange"" (CRM_НастройкиОбменаСMSExchange)","1","0","Открытие формы списка справочника ""Настройки обмена с MS Exchange"" (CRM_НастройкиОбменаСMSExchange)","0"
"0","","0","Открытие формы отчета ""Вероятностный прогноз"" (ВероятностныйПрогноз)","1","0","Открытие формы отчета ""Вероятностный прогноз"" (ВероятностныйПрогноз)","0"
"0","","0","Открытие формы справочника ""Правила размещения файлов в томах"" (ПравилаРазмещенияФайловВТомах)","1","0","Открытие формы справочника ""Правила размещения файлов в томах"" (ПравилаРазмещенияФайловВТомах)","0"
"0","","0","Открытие формы списка регистра накопления ""Денежные средства (наличные)"" (ДенежныеСредстваНаличные)","1","0","Открытие формы списка регистра накопления ""Денежные средства (наличные)"" (ДенежныеСредстваНаличные)","0"
"0","","0","Копирование элемента справочника ""Пользователи ВетИС"" (ПользователиВЕТИС)","1","0","Копирование элемента справочника ""Пользователи ВетИС"" (ПользователиВЕТИС)","0"
"0","","0","Открытие формы списка справочника ""Решения базы знаний"" (CRM_Решения)","1","0","Открытие формы списка справочника ""Решения базы знаний"" (CRM_Решения)","0"
"0","","0","Открытие формы списка справочника ""Продукция ВетИС"" (ПродукцияВЕТИС)","1","0","Открытие формы списка справочника ""Продукция ВетИС"" (ПродукцияВЕТИС)","0"
"0","","0","Копирование элемента справочника ""Настройки проверки цен в заказах"" (НастройкиПроверкиЦенВЗаказах)","1","0","Копирование элемента справочника ""Настройки проверки цен в заказах"" (НастройкиПроверкиЦенВЗаказах)","0"
