"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","955","Открытие формы обработки ""ММП: Шифрование"" (mmШифрование)","","Wed Apr 23 13:40:21 MSK 2025","passed","Wed Apr 23 13:40:22 MSK 2025","","","",""
"","947","Открытие формы списка регистра сведений ""Рассчитанные отборы по новостям (пользовательские)"" (РассчитанныеОтборыПоНовостям_Пользовательские)","","Wed Apr 23 13:44:50 MSK 2025","passed","Wed Apr 23 13:44:51 MSK 2025","","","",""
"","2583","Копирование элемента группы справочника ""Настройки ограничения доступа"" (ЯРВЕТ_НастройкиОграниченияДоступа)","","Wed Apr 23 12:26:01 MSK 2025","passed","Wed Apr 23 12:26:04 MSK 2025","","","",""
"","1016","Открытие формы списка документа ""Обращения клиентов"" (ОбращенияКлиентов)","","Wed Apr 23 12:43:35 MSK 2025","passed","Wed Apr 23 12:43:36 MSK 2025","","","",""
"","982","Открытие формы плана видов характеристик ""Статьи доходов"" (СтатьиДоходов)","","Wed Apr 23 13:12:02 MSK 2025","passed","Wed Apr 23 13:12:03 MSK 2025","","","",""
"","1081","Открытие формы отчета ""Состояние ассортимента"" (СостояниеАссортимента)","","Wed Apr 23 13:38:04 MSK 2025","passed","Wed Apr 23 13:38:05 MSK 2025","","","",""
"","954","Открытие формы документа ""Проведение опросов"" (НазначениеОпросов)","","Wed Apr 23 12:45:00 MSK 2025","passed","Wed Apr 23 12:45:01 MSK 2025","","","",""
"","1241","Открытие формы обработки ""Документы по партнеру и сделке"" (ДокументыПоПартнеруИСделке)","","Wed Apr 23 13:40:32 MSK 2025","passed","Wed Apr 23 13:40:34 MSK 2025","","","",""
"","1184","Открытие формы отчета ""Динамика изменения цен номенклатуры поставщика"" (ДинамикаИзмененияЦенНоменклатурыПоставщика)","","Wed Apr 23 13:32:33 MSK 2025","passed","Wed Apr 23 13:32:35 MSK 2025","","","",""
"","1051","Открытие формы документа ""Запрос складского журнала ВетИС"" (ЗапросСкладскогоЖурналаВЕТИС)","","Wed Apr 23 12:44:39 MSK 2025","passed","Wed Apr 23 12:44:40 MSK 2025","","","",""
"","921","Открытие формы списка регистра сведений ""Операции статистики"" (ОперацииСтатистики)","","Wed Apr 23 13:44:21 MSK 2025","passed","Wed Apr 23 13:44:22 MSK 2025","","","",""
"","1002","Открытие формы документа ""Начисление ретробонуса поставщика"" (НачислениеРетробонусаПоставщикам)","","Wed Apr 23 12:44:50 MSK 2025","passed","Wed Apr 23 12:44:51 MSK 2025","","","",""
"","1097","Открытие формы списка регистра сведений ""Отложенные сообщения"" (сшпОтложенныеСообщения)","","Wed Apr 23 13:46:01 MSK 2025","passed","Wed Apr 23 13:46:02 MSK 2025","","","",""
"","2775","Копирование элемента группы справочника ""Показатели процентовка"" (ПоказателиРасчетаЗП)","","Wed Apr 23 12:35:14 MSK 2025","passed","Wed Apr 23 12:35:17 MSK 2025","","","",""
"","1163","Открытие формы документа ""SMS сообщение"" (смсСообщение)","","Wed Apr 23 12:45:47 MSK 2025","passed","Wed Apr 23 12:45:48 MSK 2025","","","",""
"","1064","Открытие формы списка регистра накопления ""Партии товаров организаций"" (ПартииТоваровОрганизаций)","","Wed Apr 23 13:49:08 MSK 2025","passed","Wed Apr 23 13:49:09 MSK 2025","","","",""
"","12371","Копирование элемента справочника ""Виды запасов"" (ВидыЗапасов)","","Wed Apr 23 12:11:06 MSK 2025","passed","Wed Apr 23 12:11:19 MSK 2025","","","",""
"","1024","Открытие формы списка документа ""Факт продаж новый"" (ЯРВЕТ_ФактПродажНовый)","","Wed Apr 23 12:43:19 MSK 2025","passed","Wed Apr 23 12:43:20 MSK 2025","","","",""
"","1044","Открытие формы списка регистра сведений ""Штрихкоды номенклатуры"" (ШтрихкодыНоменклатуры)","","Wed Apr 23 13:45:59 MSK 2025","passed","Wed Apr 23 13:46:00 MSK 2025","","","",""
